"Engineering Mathematics I","Chemistry","Communication Techniques","Programming in C","Basic Electrical Engineering","Mechanical Workshop","Engineering
Mathematics II",Physics,"Engineering
Drawing","Object Oriented
Programming in C++","Applied
Mechanics I","Thermal 
Science","Engineering 
Mathematics III","Data Structure 
and Algorithms","Electrical
Engineering ",Network Theory,"Electronics
Devices and ",Logic Circuits,"Engineering 
Mathematics IV",Instrumentation,"Database Management 
Systems","Programming
Technology",Microprocessors,Project I,"Numerical
Methods","Probability and 
Statistics","Operating
Systems","Computer 
Architecture","Computer 
Graphics","Theory of
Computation",Simulation and Modeling,Data Communication,Object Oriented Software,Embedded Systems,Project II,Elective I,"Artificial
Intelligence","Engineering
Economics",Computer Network,"Image Processing and
Pattern Recognition","ICT Project 
Management",Elective II,"Digital Signal 
Analysis
Processing","Social and
Professional 
Issues in IT","Organization and
Management","Information
System",Project III,Elective III
2.376623377,3.207792208,2.177922078,2.762337662,3.762337662,4,2.937662338,0,0.561038961,0.7688311688,0,2.824675325,2.72987013,2.415584416,2.138961039,0.6233766234,0,3.445454545,2.138961039,3.3,3.762337662,3.492207792,2.937662338,4,3.445454545,2.138961039,2.937662338,3.492207792,2.937662338,3.175324675,2.762337662,3.02987013,3.383116883,0.561038961,3.762337662,3.937662338,3.175324675,0,3.175324675,2.376623377,2.7,3.584415584,0,2.7,3.554545455,0.561038961,3.7,3.616883117
2.37962038,3.206793207,2.175624376,2.762037962,3.762037962,4,2.937962038,0,0.5583416583,0.7651348651,0,2.824075924,2.731168831,2.413586414,2.141658342,0.6203796204,0,3.444755245,2.141658342,3.3,3.762037962,3.493206793,2.937962038,4,3.444755245,2.141658342,2.937962038,3.493206793,2.937962038,3.175924076,2.762037962,3.031168831,3.382717283,0.5583416583,3.762037962,3.937962038,3.175924076,0,3.175924076,2.37962038,2.7,3.586413586,0,2.7,3.555244755,0.5583416583,3.7,3.617282717
2.382617383,3.205794206,2.173326673,2.761738262,3.761738262,4,2.938261738,0,0.5556443556,0.7614385614,0,2.823476523,2.732467532,2.411588412,2.144355644,0.6173826174,0,3.444055944,2.144355644,3.3,3.761738262,3.494205794,2.938261738,4,3.444055944,2.144355644,2.938261738,3.494205794,2.938261738,3.176523477,2.761738262,3.032467532,3.382317682,0.5556443556,3.761738262,3.938261738,3.176523477,0,3.176523477,2.382617383,2.7,3.588411588,0,2.7,3.555944056,0.5556443556,3.7,3.617682318
2.385614386,3.204795205,2.171028971,2.761438561,3.761438561,4,2.938561439,0,0.5529470529,0.7577422577,0,2.822877123,2.733766234,2.40959041,2.147052947,0.6143856144,0,3.443356643,2.147052947,3.3,3.761438561,3.495204795,2.938561439,4,3.443356643,2.147052947,2.938561439,3.495204795,2.938561439,3.177122877,2.761438561,3.033766234,3.381918082,0.5529470529,3.761438561,3.938561439,3.177122877,0,3.177122877,2.385614386,2.7,3.59040959,0,2.7,3.556643357,0.5529470529,3.7,3.618081918
2.388611389,3.203796204,2.168731269,2.761138861,3.761138861,4,2.938861139,0,0.5502497502,0.754045954,0,2.822277722,2.735064935,2.407592408,2.14975025,0.6113886114,0,3.442657343,2.14975025,3.3,3.761138861,3.496203796,2.938861139,4,3.442657343,2.14975025,2.938861139,3.496203796,2.938861139,3.177722278,2.761138861,3.035064935,3.381518482,0.5502497502,3.761138861,3.938861139,3.177722278,0,3.177722278,2.388611389,2.7,3.592407592,0,2.7,3.557342657,0.5502497502,3.7,3.618481518
2.391608392,3.202797203,2.166433566,2.760839161,3.760839161,4,2.939160839,0,0.5475524476,0.7503496503,0,2.821678322,2.736363636,2.405594406,2.152447552,0.6083916084,0,3.441958042,2.152447552,3.3,3.760839161,3.497202797,2.939160839,4,3.441958042,2.152447552,2.939160839,3.497202797,2.939160839,3.178321678,2.760839161,3.036363636,3.381118881,0.5475524476,3.760839161,3.939160839,3.178321678,0,3.178321678,2.391608392,2.7,3.594405594,0,2.7,3.558041958,0.5475524476,3.7,3.618881119
2.394605395,3.201798202,2.164135864,2.760539461,3.760539461,4,2.939460539,0,0.5448551449,0.7466533467,0,2.821078921,2.737662338,2.403596404,2.155144855,0.6053946054,0,3.441258741,2.155144855,3.3,3.760539461,3.498201798,2.939460539,4,3.441258741,2.155144855,2.939460539,3.498201798,2.939460539,3.178921079,2.760539461,3.037662338,3.380719281,0.5448551449,3.760539461,3.939460539,3.178921079,0,3.178921079,2.394605395,2.7,3.596403596,0,2.7,3.558741259,0.5448551449,3.7,3.619280719
2.397602398,3.200799201,2.161838162,2.76023976,3.76023976,4,2.93976024,0,0.5421578422,0.742957043,0,2.82047952,2.738961039,2.401598402,2.157842158,0.6023976024,0,3.440559441,2.157842158,3.3,3.76023976,3.499200799,2.93976024,4,3.440559441,2.157842158,2.93976024,3.499200799,2.93976024,3.17952048,2.76023976,3.038961039,3.38031968,0.5421578422,3.76023976,3.93976024,3.17952048,0,3.17952048,2.397602398,2.7,3.598401598,0,2.7,3.559440559,0.5421578422,3.7,3.61968032
2.400599401,3.1998002,2.15954046,2.75994006,3.75994006,4,2.94005994,0,0.5394605395,0.7392607393,0,2.81988012,2.74025974,2.3996004,2.160539461,0.5994005994,0,3.43986014,2.160539461,3.3,3.75994006,3.5001998,2.94005994,4,3.43986014,2.160539461,2.94005994,3.5001998,2.94005994,3.18011988,2.75994006,3.04025974,3.37992008,0.5394605395,3.75994006,3.94005994,3.18011988,0,3.18011988,2.400599401,2.7,3.6003996,0,2.7,3.56013986,0.5394605395,3.7,3.62007992
2.403596404,3.198801199,2.157242757,2.75964036,3.75964036,4,2.94035964,0,0.5367632368,0.7355644356,0,2.819280719,2.741558442,2.397602398,2.163236763,0.5964035964,0,3.439160839,2.163236763,3.3,3.75964036,3.501198801,2.94035964,4,3.439160839,2.163236763,2.94035964,3.501198801,2.94035964,3.180719281,2.75964036,3.041558442,3.37952048,0.5367632368,3.75964036,3.94035964,3.180719281,0,3.180719281,2.403596404,2.7,3.602397602,0,2.7,3.560839161,0.5367632368,3.7,3.62047952
2.406593407,3.197802198,2.154945055,2.759340659,3.759340659,4,2.940659341,0,0.5340659341,0.7318681319,0,2.818681319,2.742857143,2.395604396,2.165934066,0.5934065934,0,3.438461538,2.165934066,3.3,3.759340659,3.502197802,2.940659341,4,3.438461538,2.165934066,2.940659341,3.502197802,2.940659341,3.181318681,2.759340659,3.042857143,3.379120879,0.5340659341,3.759340659,3.940659341,3.181318681,0,3.181318681,2.406593407,2.7,3.604395604,0,2.7,3.561538462,0.5340659341,3.7,3.620879121
2.40959041,3.196803197,2.152647353,2.759040959,3.759040959,4,2.940959041,0,0.5313686314,0.7281718282,0,2.818081918,2.744155844,2.393606394,2.168631369,0.5904095904,0,3.437762238,2.168631369,3.3,3.759040959,3.503196803,2.940959041,4,3.437762238,2.168631369,2.940959041,3.503196803,2.940959041,3.181918082,2.759040959,3.044155844,3.378721279,0.5313686314,3.759040959,3.940959041,3.181918082,0,3.181918082,2.40959041,2.7,3.606393606,0,2.7,3.562237762,0.5313686314,3.7,3.621278721
2.412587413,3.195804196,2.15034965,2.758741259,3.758741259,4,2.941258741,0,0.5286713287,0.7244755245,0,2.817482517,2.745454545,2.391608392,2.171328671,0.5874125874,0,3.437062937,2.171328671,3.3,3.758741259,3.504195804,2.941258741,4,3.437062937,2.171328671,2.941258741,3.504195804,2.941258741,3.182517483,2.758741259,3.045454545,3.378321678,0.5286713287,3.758741259,3.941258741,3.182517483,0,3.182517483,2.412587413,2.7,3.608391608,0,2.7,3.562937063,0.5286713287,3.7,3.621678322
2.415584416,3.194805195,2.148051948,2.758441558,3.758441558,4,2.941558442,0,0.525974026,0.7207792208,0,2.816883117,2.746753247,2.38961039,2.174025974,0.5844155844,0,3.436363636,2.174025974,3.3,3.758441558,3.505194805,2.941558442,4,3.436363636,2.174025974,2.941558442,3.505194805,2.941558442,3.183116883,2.758441558,3.046753247,3.377922078,0.525974026,3.758441558,3.941558442,3.183116883,0,3.183116883,2.415584416,2.7,3.61038961,0,2.7,3.563636364,0.525974026,3.7,3.622077922
2.418581419,3.193806194,2.145754246,2.758141858,3.758141858,4,2.941858142,0,0.5232767233,0.7170829171,0,2.816283716,2.748051948,2.387612388,2.176723277,0.5814185814,0,3.435664336,2.176723277,3.3,3.758141858,3.506193806,2.941858142,4,3.435664336,2.176723277,2.941858142,3.506193806,2.941858142,3.183716284,2.758141858,3.048051948,3.377522478,0.5232767233,3.758141858,3.941858142,3.183716284,0,3.183716284,2.418581419,2.7,3.612387612,0,2.7,3.564335664,0.5232767233,3.7,3.622477522
2.421578422,3.192807193,2.143456543,2.757842158,3.757842158,4,2.942157842,0,0.5205794206,0.7133866134,0,2.815684316,2.749350649,2.385614386,2.179420579,0.5784215784,0,3.434965035,2.179420579,3.3,3.757842158,3.507192807,2.942157842,4,3.434965035,2.179420579,2.942157842,3.507192807,2.942157842,3.184315684,2.757842158,3.049350649,3.377122877,0.5205794206,3.757842158,3.942157842,3.184315684,0,3.184315684,2.421578422,2.7,3.614385614,0,2.7,3.565034965,0.5205794206,3.7,3.622877123
2.424575425,3.191808192,2.141158841,2.757542458,3.757542458,4,2.942457542,0,0.5178821179,0.7096903097,0,2.815084915,2.750649351,2.383616384,2.182117882,0.5754245754,0,3.434265734,2.182117882,3.3,3.757542458,3.508191808,2.942457542,4,3.434265734,2.182117882,2.942457542,3.508191808,2.942457542,3.184915085,2.757542458,3.050649351,3.376723277,0.5178821179,3.757542458,3.942457542,3.184915085,0,3.184915085,2.424575425,2.7,3.616383616,0,2.7,3.565734266,0.5178821179,3.7,3.623276723
2.427572428,3.190809191,2.138861139,2.757242757,3.757242757,4,2.942757243,0,0.5151848152,0.705994006,0,2.814485514,2.751948052,2.381618382,2.184815185,0.5724275724,0,3.433566434,2.184815185,3.3,3.757242757,3.509190809,2.942757243,4,3.433566434,2.184815185,2.942757243,3.509190809,2.942757243,3.185514486,2.757242757,3.051948052,3.376323676,0.5151848152,3.757242757,3.942757243,3.185514486,0,3.185514486,2.427572428,2.7,3.618381618,0,2.7,3.566433566,0.5151848152,3.7,3.623676324
2.430569431,3.18981019,2.136563437,2.756943057,3.756943057,4,2.943056943,0,0.5124875125,0.7022977023,0,2.813886114,2.753246753,2.37962038,2.187512488,0.5694305694,0,3.432867133,2.187512488,3.3,3.756943057,3.51018981,2.943056943,4,3.432867133,2.187512488,2.943056943,3.51018981,2.943056943,3.186113886,2.756943057,3.053246753,3.375924076,0.5124875125,3.756943057,3.943056943,3.186113886,0,3.186113886,2.430569431,2.7,3.62037962,0,2.7,3.567132867,0.5124875125,3.7,3.624075924
2.433566434,3.188811189,2.134265734,2.756643357,3.756643357,4,2.943356643,0,0.5097902098,0.6986013986,0,2.813286713,2.754545455,2.377622378,2.19020979,0.5664335664,0,3.432167832,2.19020979,3.3,3.756643357,3.511188811,2.943356643,4,3.432167832,2.19020979,2.943356643,3.511188811,2.943356643,3.186713287,2.756643357,3.054545455,3.375524476,0.5097902098,3.756643357,3.943356643,3.186713287,0,3.186713287,2.433566434,2.7,3.622377622,0,2.7,3.567832168,0.5097902098,3.7,3.624475524
2.436563437,3.187812188,2.131968032,2.756343656,3.756343656,4,2.943656344,0,0.5070929071,0.6949050949,0,2.812687313,2.755844156,2.375624376,2.192907093,0.5634365634,0,3.431468531,2.192907093,3.3,3.756343656,3.512187812,2.943656344,4,3.431468531,2.192907093,2.943656344,3.512187812,2.943656344,3.187312687,2.756343656,3.055844156,3.375124875,0.5070929071,3.756343656,3.943656344,3.187312687,0,3.187312687,2.436563437,2.7,3.624375624,0,2.7,3.568531469,0.5070929071,3.7,3.624875125
2.43956044,3.186813187,2.12967033,2.756043956,3.756043956,4,2.943956044,0,0.5043956044,0.6912087912,0,2.812087912,2.757142857,2.373626374,2.195604396,0.5604395604,0,3.430769231,2.195604396,3.3,3.756043956,3.513186813,2.943956044,4,3.430769231,2.195604396,2.943956044,3.513186813,2.943956044,3.187912088,2.756043956,3.057142857,3.374725275,0.5043956044,3.756043956,3.943956044,3.187912088,0,3.187912088,2.43956044,2.7,3.626373626,0,2.7,3.569230769,0.5043956044,3.7,3.625274725
2.442557443,3.185814186,2.127372627,2.755744256,3.755744256,4,2.944255744,0,0.5016983017,0.6875124875,0,2.811488511,2.758441558,2.371628372,2.198301698,0.5574425574,0,3.43006993,2.198301698,3.3,3.755744256,3.514185814,2.944255744,4,3.43006993,2.198301698,2.944255744,3.514185814,2.944255744,3.188511489,2.755744256,3.058441558,3.374325674,0.5016983017,3.755744256,3.944255744,3.188511489,0,3.188511489,2.442557443,2.7,3.628371628,0,2.7,3.56993007,0.5016983017,3.7,3.625674326
2.445554446,3.184815185,2.125074925,2.755444555,3.755444555,4,2.944555445,0,0.499000999,0.6838161838,0,2.810889111,2.75974026,2.36963037,2.200999001,0.5544455544,0,3.429370629,2.200999001,3.3,3.755444555,3.515184815,2.944555445,4,3.429370629,2.200999001,2.944555445,3.515184815,2.944555445,3.189110889,2.755444555,3.05974026,3.373926074,0.499000999,3.755444555,3.944555445,3.189110889,0,3.189110889,2.445554446,2.7,3.63036963,0,2.7,3.570629371,0.499000999,3.7,3.626073926
2.448551449,3.183816184,2.122777223,2.755144855,3.755144855,4,2.944855145,0,0.4963036963,0.6801198801,0,2.81028971,2.761038961,2.367632368,2.203696304,0.5514485514,0,3.428671329,2.203696304,3.3,3.755144855,3.516183816,2.944855145,4,3.428671329,2.203696304,2.944855145,3.516183816,2.944855145,3.18971029,2.755144855,3.061038961,3.373526474,0.4963036963,3.755144855,3.944855145,3.18971029,0,3.18971029,2.448551449,2.7,3.632367632,0,2.7,3.571328671,0.4963036963,3.7,3.626473526
2.451548452,3.182817183,2.12047952,2.754845155,3.754845155,4,2.945154845,0,0.4936063936,0.6764235764,0,2.80969031,2.762337662,2.365634366,2.206393606,0.5484515485,0,3.427972028,2.206393606,3.3,3.754845155,3.517182817,2.945154845,4,3.427972028,2.206393606,2.945154845,3.517182817,2.945154845,3.19030969,2.754845155,3.062337662,3.373126873,0.4936063936,3.754845155,3.945154845,3.19030969,0,3.19030969,2.451548452,2.7,3.634365634,0,2.7,3.572027972,0.4936063936,3.7,3.626873127
2.454545455,3.181818182,2.118181818,2.754545455,3.754545455,4,2.945454545,0,0.4909090909,0.6727272727,0,2.809090909,2.763636364,2.363636364,2.209090909,0.5454545455,0,3.427272727,2.209090909,3.3,3.754545455,3.518181818,2.945454545,4,3.427272727,2.209090909,2.945454545,3.518181818,2.945454545,3.190909091,2.754545455,3.063636364,3.372727273,0.4909090909,3.754545455,3.945454545,3.190909091,0,3.190909091,2.454545455,2.7,3.636363636,0,2.7,3.572727273,0.4909090909,3.7,3.627272727
2.457542458,3.180819181,2.115884116,2.754245754,3.754245754,4,2.945754246,0,0.4882117882,0.669030969,0,2.808491508,2.764935065,2.361638362,2.211788212,0.5424575425,0,3.426573427,2.211788212,3.3,3.754245754,3.519180819,2.945754246,4,3.426573427,2.211788212,2.945754246,3.519180819,2.945754246,3.191508492,2.754245754,3.064935065,3.372327672,0.4882117882,3.754245754,3.945754246,3.191508492,0,3.191508492,2.457542458,2.7,3.638361638,0,2.7,3.573426573,0.4882117882,3.7,3.627672328
2.460539461,3.17982018,2.113586414,2.753946054,3.753946054,4,2.946053946,0,0.4855144855,0.6653346653,0,2.807892108,2.766233766,2.35964036,2.214485514,0.5394605395,0,3.425874126,2.214485514,3.3,3.753946054,3.52017982,2.946053946,4,3.425874126,2.214485514,2.946053946,3.52017982,2.946053946,3.192107892,2.753946054,3.066233766,3.371928072,0.4855144855,3.753946054,3.946053946,3.192107892,0,3.192107892,2.460539461,2.7,3.64035964,0,2.7,3.574125874,0.4855144855,3.7,3.628071928
2.463536464,3.178821179,2.111288711,2.753646354,3.753646354,4,2.946353646,0,0.4828171828,0.6616383616,0,2.807292707,2.767532468,2.357642358,2.217182817,0.5364635365,0,3.425174825,2.217182817,3.3,3.753646354,3.521178821,2.946353646,4,3.425174825,2.217182817,2.946353646,3.521178821,2.946353646,3.192707293,2.753646354,3.067532468,3.371528472,0.4828171828,3.753646354,3.946353646,3.192707293,0,3.192707293,2.463536464,2.7,3.642357642,0,2.7,3.574825175,0.4828171828,3.7,3.628471528
2.466533467,3.177822178,2.108991009,2.753346653,3.753346653,4,2.946653347,0,0.4801198801,0.6579420579,0,2.806693307,2.768831169,2.355644356,2.21988012,0.5334665335,0,3.424475524,2.21988012,3.3,3.753346653,3.522177822,2.946653347,4,3.424475524,2.21988012,2.946653347,3.522177822,2.946653347,3.193306693,2.753346653,3.068831169,3.371128871,0.4801198801,3.753346653,3.946653347,3.193306693,0,3.193306693,2.466533467,2.7,3.644355644,0,2.7,3.575524476,0.4801198801,3.7,3.628871129
2.46953047,3.176823177,2.106693307,2.753046953,3.753046953,4,2.946953047,0,0.4774225774,0.6542457542,0,2.806093906,2.77012987,2.353646354,2.222577423,0.5304695305,0,3.423776224,2.222577423,3.3,3.753046953,3.523176823,2.946953047,4,3.423776224,2.222577423,2.946953047,3.523176823,2.946953047,3.193906094,2.753046953,3.07012987,3.370729271,0.4774225774,3.753046953,3.946953047,3.193906094,0,3.193906094,2.46953047,2.7,3.646353646,0,2.7,3.576223776,0.4774225774,3.7,3.629270729
2.472527473,3.175824176,2.104395604,2.752747253,3.752747253,4,2.947252747,0,0.4747252747,0.6505494505,0,2.805494505,2.771428571,2.351648352,2.225274725,0.5274725275,0,3.423076923,2.225274725,3.3,3.752747253,3.524175824,2.947252747,4,3.423076923,2.225274725,2.947252747,3.524175824,2.947252747,3.194505495,2.752747253,3.071428571,3.37032967,0.4747252747,3.752747253,3.947252747,3.194505495,0,3.194505495,2.472527473,2.7,3.648351648,0,2.7,3.576923077,0.4747252747,3.7,3.62967033
2.475524476,3.174825175,2.102097902,2.752447552,3.752447552,4,2.947552448,0,0.472027972,0.6468531469,0,2.804895105,2.772727273,2.34965035,2.227972028,0.5244755245,0,3.422377622,2.227972028,3.3,3.752447552,3.525174825,2.947552448,4,3.422377622,2.227972028,2.947552448,3.525174825,2.947552448,3.195104895,2.752447552,3.072727273,3.36993007,0.472027972,3.752447552,3.947552448,3.195104895,0,3.195104895,2.475524476,2.7,3.65034965,0,2.7,3.577622378,0.472027972,3.7,3.63006993
2.478521479,3.173826174,2.0998002,2.752147852,3.752147852,4,2.947852148,0,0.4693306693,0.6431568432,0,2.804295704,2.774025974,2.347652348,2.230669331,0.5214785215,0,3.421678322,2.230669331,3.3,3.752147852,3.526173826,2.947852148,4,3.421678322,2.230669331,2.947852148,3.526173826,2.947852148,3.195704296,2.752147852,3.074025974,3.36953047,0.4693306693,3.752147852,3.947852148,3.195704296,0,3.195704296,2.478521479,2.7,3.652347652,0,2.7,3.578321678,0.4693306693,3.7,3.63046953
2.481518482,3.172827173,2.097502498,2.751848152,3.751848152,4,2.948151848,0,0.4666333666,0.6394605395,0,2.803696304,2.775324675,2.345654346,2.233366633,0.5184815185,0,3.420979021,2.233366633,3.3,3.751848152,3.527172827,2.948151848,4,3.420979021,2.233366633,2.948151848,3.527172827,2.948151848,3.196303696,2.751848152,3.075324675,3.369130869,0.4666333666,3.751848152,3.948151848,3.196303696,0,3.196303696,2.481518482,2.7,3.654345654,0,2.7,3.579020979,0.4666333666,3.7,3.630869131
2.484515485,3.171828172,2.095204795,2.751548452,3.751548452,4,2.948451548,0,0.4639360639,0.6357642358,0,2.803096903,2.776623377,2.343656344,2.236063936,0.5154845155,0,3.42027972,2.236063936,3.3,3.751548452,3.528171828,2.948451548,4,3.42027972,2.236063936,2.948451548,3.528171828,2.948451548,3.196903097,2.751548452,3.076623377,3.368731269,0.4639360639,3.751548452,3.948451548,3.196903097,0,3.196903097,2.484515485,2.7,3.656343656,0,2.7,3.57972028,0.4639360639,3.7,3.631268731
2.487512488,3.170829171,2.092907093,2.751248751,3.751248751,4,2.948751249,0,0.4612387612,0.6320679321,0,2.802497502,2.777922078,2.341658342,2.238761239,0.5124875125,0,3.41958042,2.238761239,3.3,3.751248751,3.529170829,2.948751249,4,3.41958042,2.238761239,2.948751249,3.529170829,2.948751249,3.197502498,2.751248751,3.077922078,3.368331668,0.4612387612,3.751248751,3.948751249,3.197502498,0,3.197502498,2.487512488,2.7,3.658341658,0,2.7,3.58041958,0.4612387612,3.7,3.631668332
2.490509491,3.16983017,2.090609391,2.750949051,3.750949051,4,2.949050949,0,0.4585414585,0.6283716284,0,2.801898102,2.779220779,2.33966034,2.241458541,0.5094905095,0,3.418881119,2.241458541,3.3,3.750949051,3.53016983,2.949050949,4,3.418881119,2.241458541,2.949050949,3.53016983,2.949050949,3.198101898,2.750949051,3.079220779,3.367932068,0.4585414585,3.750949051,3.949050949,3.198101898,0,3.198101898,2.490509491,2.7,3.66033966,0,2.7,3.581118881,0.4585414585,3.7,3.632067932
2.493506494,3.168831169,2.088311688,2.750649351,3.750649351,4,2.949350649,0,0.4558441558,0.6246753247,0,2.801298701,2.780519481,2.337662338,2.244155844,0.5064935065,0,3.418181818,2.244155844,3.3,3.750649351,3.531168831,2.949350649,4,3.418181818,2.244155844,2.949350649,3.531168831,2.949350649,3.198701299,2.750649351,3.080519481,3.367532468,0.4558441558,3.750649351,3.949350649,3.198701299,0,3.198701299,2.493506494,2.7,3.662337662,0,2.7,3.581818182,0.4558441558,3.7,3.632467532
2.496503497,3.167832168,2.086013986,2.75034965,3.75034965,4,2.94965035,0,0.4531468531,0.620979021,0,2.800699301,2.781818182,2.335664336,2.246853147,0.5034965035,0,3.417482517,2.246853147,3.3,3.75034965,3.532167832,2.94965035,4,3.417482517,2.246853147,2.94965035,3.532167832,2.94965035,3.199300699,2.75034965,3.081818182,3.367132867,0.4531468531,3.75034965,3.94965035,3.199300699,0,3.199300699,2.496503497,2.7,3.664335664,0,2.7,3.582517483,0.4531468531,3.7,3.632867133
2.4995005,3.166833167,2.083716284,2.75004995,3.75004995,4,2.94995005,0,0.4504495504,0.6172827173,0,2.8000999,2.783116883,2.333666334,2.24955045,0.5004995005,0,3.416783217,2.24955045,3.3,3.75004995,3.533166833,2.94995005,4,3.416783217,2.24955045,2.94995005,3.533166833,2.94995005,3.1999001,2.75004995,3.083116883,3.366733267,0.4504495504,3.75004995,3.94995005,3.1999001,0,3.1999001,2.4995005,2.7,3.666333666,0,2.7,3.583216783,0.4504495504,3.7,3.633266733
2.502497502,3.165834166,2.081418581,2.74975025,3.74975025,4,2.95024975,0,0.4477522478,0.6135864136,0,2.7995005,2.784415584,2.331668332,2.252247752,0.4975024975,0,3.416083916,2.252247752,3.3,3.74975025,3.534165834,2.95024975,4,3.416083916,2.252247752,2.95024975,3.534165834,2.95024975,3.2004995,2.74975025,3.084415584,3.366333666,0.4477522478,3.74975025,3.95024975,3.2004995,0,3.2004995,2.502497502,2.7,3.668331668,0,2.7,3.583916084,0.4477522478,3.7,3.633666334
2.505494505,3.164835165,2.079120879,2.749450549,3.749450549,4,2.950549451,0,0.4450549451,0.6098901099,0,2.798901099,2.785714286,2.32967033,2.254945055,0.4945054945,0,3.415384615,2.254945055,3.3,3.749450549,3.535164835,2.950549451,4,3.415384615,2.254945055,2.950549451,3.535164835,2.950549451,3.201098901,2.749450549,3.085714286,3.365934066,0.4450549451,3.749450549,3.950549451,3.201098901,0,3.201098901,2.505494505,2.7,3.67032967,0,2.7,3.584615385,0.4450549451,3.7,3.634065934
2.508491508,3.163836164,2.076823177,2.749150849,3.749150849,4,2.950849151,0,0.4423576424,0.6061938062,0,2.798301698,2.787012987,2.327672328,2.257642358,0.4915084915,0,3.414685315,2.257642358,3.3,3.749150849,3.536163836,2.950849151,4,3.414685315,2.257642358,2.950849151,3.536163836,2.950849151,3.201698302,2.749150849,3.087012987,3.365534466,0.4423576424,3.749150849,3.950849151,3.201698302,0,3.201698302,2.508491508,2.7,3.672327672,0,2.7,3.585314685,0.4423576424,3.7,3.634465534
2.511488511,3.162837163,2.074525475,2.748851149,3.748851149,4,2.951148851,0,0.4396603397,0.6024975025,0,2.797702298,2.788311688,2.325674326,2.26033966,0.4885114885,0,3.413986014,2.26033966,3.3,3.748851149,3.537162837,2.951148851,4,3.413986014,2.26033966,2.951148851,3.537162837,2.951148851,3.202297702,2.748851149,3.088311688,3.365134865,0.4396603397,3.748851149,3.951148851,3.202297702,0,3.202297702,2.511488511,2.7,3.674325674,0,2.7,3.586013986,0.4396603397,3.7,3.634865135
2.514485514,3.161838162,2.072227772,2.748551449,3.748551449,4,2.951448551,0,0.436963037,0.5988011988,0,2.797102897,2.78961039,2.323676324,2.263036963,0.4855144855,0,3.413286713,2.263036963,3.3,3.748551449,3.538161838,2.951448551,4,3.413286713,2.263036963,2.951448551,3.538161838,2.951448551,3.202897103,2.748551449,3.08961039,3.364735265,0.436963037,3.748551449,3.951448551,3.202897103,0,3.202897103,2.514485514,2.7,3.676323676,0,2.7,3.586713287,0.436963037,3.7,3.635264735
2.517482517,3.160839161,2.06993007,2.748251748,3.748251748,4,2.951748252,0,0.4342657343,0.5951048951,0,2.796503497,2.790909091,2.321678322,2.265734266,0.4825174825,0,3.412587413,2.265734266,3.3,3.748251748,3.539160839,2.951748252,4,3.412587413,2.265734266,2.951748252,3.539160839,2.951748252,3.203496503,2.748251748,3.090909091,3.364335664,0.4342657343,3.748251748,3.951748252,3.203496503,0,3.203496503,2.517482517,2.7,3.678321678,0,2.7,3.587412587,0.4342657343,3.7,3.635664336
2.52047952,3.15984016,2.067632368,2.747952048,3.747952048,4,2.952047952,0,0.4315684316,0.5914085914,0,2.795904096,2.792207792,2.31968032,2.268431568,0.4795204795,0,3.411888112,2.268431568,3.3,3.747952048,3.54015984,2.952047952,4,3.411888112,2.268431568,2.952047952,3.54015984,2.952047952,3.204095904,2.747952048,3.092207792,3.363936064,0.4315684316,3.747952048,3.952047952,3.204095904,0,3.204095904,2.52047952,2.7,3.68031968,0,2.7,3.588111888,0.4315684316,3.7,3.636063936
2.523476523,3.158841159,2.065334665,2.747652348,3.747652348,4,2.952347652,0,0.4288711289,0.5877122877,0,2.795304695,2.793506494,2.317682318,2.271128871,0.4765234765,0,3.411188811,2.271128871,3.3,3.747652348,3.541158841,2.952347652,4,3.411188811,2.271128871,2.952347652,3.541158841,2.952347652,3.204695305,2.747652348,3.093506494,3.363536464,0.4288711289,3.747652348,3.952347652,3.204695305,0,3.204695305,2.523476523,2.7,3.682317682,0,2.7,3.588811189,0.4288711289,3.7,3.636463536
2.526473526,3.157842158,2.063036963,2.747352647,3.747352647,4,2.952647353,0,0.4261738262,0.584015984,0,2.794705295,2.794805195,2.315684316,2.273826174,0.4735264735,0,3.41048951,2.273826174,3.3,3.747352647,3.542157842,2.952647353,4,3.41048951,2.273826174,2.952647353,3.542157842,2.952647353,3.205294705,2.747352647,3.094805195,3.363136863,0.4261738262,3.747352647,3.952647353,3.205294705,0,3.205294705,2.526473526,2.7,3.684315684,0,2.7,3.58951049,0.4261738262,3.7,3.636863137
2.529470529,3.156843157,2.060739261,2.747052947,3.747052947,4,2.952947053,0,0.4234765235,0.5803196803,0,2.794105894,2.796103896,2.313686314,2.276523477,0.4705294705,0,3.40979021,2.276523477,3.3,3.747052947,3.543156843,2.952947053,4,3.40979021,2.276523477,2.952947053,3.543156843,2.952947053,3.205894106,2.747052947,3.096103896,3.362737263,0.4234765235,3.747052947,3.952947053,3.205894106,0,3.205894106,2.529470529,2.7,3.686313686,0,2.7,3.59020979,0.4234765235,3.7,3.637262737
